date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:13:55	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Sep%202017%2008:07:10%20GMT	http://livedemo00.template-help.com/wt_50778/img/gallery_prev8.jpg	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/img/gallery_prev8.jpg	(from http://livedemo00.template-help.com/wt_50778/)
22:13:55	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Sep%202017%2008:07:11%20GMT	http://livedemo00.template-help.com/wt_50778/img/p3_pic1.png	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/img/p3_pic1.png	(from http://livedemo00.template-help.com/wt_50778/)
22:13:55	77090/77090	---M--	200	added ('OK')	image/jpeg	etag:%2253cfa594-12d22%22	http://static.livedemo00.template-help.com/wt_50778/img/gallery_prev5.jpg	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/static.livedemo00.template-help.com/wt_50778/img/gallery_prev5.jpg	(from http://livedemo00.template-help.com/wt_50778/)
22:13:56	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Sep%202017%2008:07:11%20GMT	http://livedemo00.template-help.com/wt_50778/img/p3_pic2.png	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/img/p3_pic2.png	(from http://livedemo00.template-help.com/wt_50778/)
22:13:56	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Sep%202017%2008:07:12%20GMT	http://livedemo00.template-help.com/wt_50778/img/p3_pic3.png	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/img/p3_pic3.png	(from http://livedemo00.template-help.com/wt_50778/)
22:14:01	53713/53713	---M--	200	added ('OK')	image/jpeg	etag:%2253cfa590-d1d1%22	http://static.livedemo00.template-help.com/wt_50778/img/gallery_prev7.jpg	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/static.livedemo00.template-help.com/wt_50778/img/gallery_prev7.jpg	(from http://livedemo00.template-help.com/wt_50778/)
22:14:02	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Sep%202017%2008:07:18%20GMT	http://livedemo00.template-help.com/wt_50778/img/p3_pic4.png	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/img/p3_pic4.37.delayed	(from http://livedemo00.template-help.com/wt_50778/)
22:14:03	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Sep%202017%2008:07:18%20GMT	http://livedemo00.template-help.com/wt_50778/img/p3_pic5.png	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/img/p3_pic5.39.delayed	(from http://livedemo00.template-help.com/wt_50778/)
22:14:04	67472/67472	---M--	200	added ('OK')	image/jpeg	etag:%2253cfa58e-10790%22	http://static.livedemo00.template-help.com/wt_50778/img/gallery_prev8.jpg	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/static.livedemo00.template-help.com/wt_50778/img/gallery_prev8.jpg	(from http://livedemo00.template-help.com/wt_50778/)
22:14:04	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Sep%202017%2008:07:20%20GMT	http://livedemo00.template-help.com/wt_50778/img/p3_pic6.png	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/img/p3_pic6.3b.delayed	(from http://livedemo00.template-help.com/wt_50778/)
22:14:05	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Sep%202017%2008:07:21%20GMT	http://livedemo00.template-help.com/wt_50778/img/p3_pic7.png	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/img/p3_pic7.3d.delayed	(from http://livedemo00.template-help.com/wt_50778/)
22:14:07	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Sep%202017%2008:07:22%20GMT	http://livedemo00.template-help.com/wt_50778/img/p4_pic1.jpg	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/img/p4_pic1.3f.delayed	(from http://livedemo00.template-help.com/wt_50778/)
22:14:14	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Sep%202017%2008:07:30%20GMT	http://livedemo00.template-help.com/wt_50778/img/p4_pic2.jpg	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/img/p4_pic2.41.delayed	(from http://livedemo00.template-help.com/wt_50778/)
22:14:25	64613/64613	---M--	200	added ('OK')	image/jpeg	etag:%2253cfa6f0-fc65%22	http://static.livedemo00.template-help.com/wt_50778/img/p4_pic2.jpg	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/static.livedemo00.template-help.com/wt_50778/img/p4_pic2.jpg	(from http://livedemo00.template-help.com/wt_50778/)
22:14:26	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Sep%202017%2008:07:41%20GMT	http://livedemo00.template-help.com/wt_50778/img/p5_pic1.jpg	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/img/p5_pic1.43.delayed	(from http://livedemo00.template-help.com/wt_50778/)
22:14:27	743/743	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Sep%202017%2008:07:43%20GMT	http://livedemo00.template-help.com/wt_50778/img/mail_icone.png	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/img/mail_icone.45.delayed	(from http://livedemo00.template-help.com/wt_50778/)
22:14:28	1699/1699	---M--	200	added ('OK')	image/png	etag:%2253b15095-6a3%22	http://static.livedemo00.template-help.com/wt_50778/img/mail_icone.png	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/static.livedemo00.template-help.com/wt_50778/img/mail_icone.png	(from http://livedemo00.template-help.com/wt_50778/)
22:14:29	27474/27474	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Sep%202017%2008:07:44%20GMT	http://livedemo00.template-help.com/wt_50778/privacy.html	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/livedemo00.template-help.com/wt_50778/privacy.html	(from http://livedemo00.template-help.com/wt_50778/)
22:14:29	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2011%20Sep%202017%2008:07:45%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/www.googletagmanager.com/gtm.485445.delayed	(from http://livedemo00.template-help.com/wt_50778/)
22:14:33	14079/14079	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%225285c3a4-36ff%22	http://static.livedemo00.template-help.com/wt_50778/fonts/glyphicons-halflings-regular.eot	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/static.livedemo00.template-help.com/wt_50778/fonts/glyphicons-halflings-regular.eot	(from http://static.livedemo00.template-help.com/wt_50778/css/bootstrap.css)
22:14:36	14079/14079	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%225285c3a4-36ff%22	http://static.livedemo00.template-help.com/wt_50778/fonts/glyphicons-halflings-regular.eot?	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/static.livedemo00.template-help.com/wt_50778/fonts/glyphicons-halflings-regulard41d.eot	(from http://static.livedemo00.template-help.com/wt_50778/css/bootstrap.css)
22:14:39	16448/16448	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%225285c3a4-4040%22	http://static.livedemo00.template-help.com/wt_50778/fonts/glyphicons-halflings-regular.woff	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/static.livedemo00.template-help.com/wt_50778/fonts/glyphicons-halflings-regular.woff	(from http://static.livedemo00.template-help.com/wt_50778/css/bootstrap.css)
22:14:41	63157/63157	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225285c3a4-f6b5%22	http://static.livedemo00.template-help.com/wt_50778/fonts/glyphicons-halflings-regular.svg	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/static.livedemo00.template-help.com/wt_50778/fonts/glyphicons-halflings-regular.svg	(from http://static.livedemo00.template-help.com/wt_50778/css/bootstrap.css)
22:14:41	29512/29512	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%225285c3a4-7348%22	http://static.livedemo00.template-help.com/wt_50778/fonts/glyphicons-halflings-regular.ttf	C:/Users/PC_06/Desktop/New%20folder/xcvxcv/static.livedemo00.template-help.com/wt_50778/fonts/glyphicons-halflings-regular.ttf	(from http://static.livedemo00.template-help.com/wt_50778/css/bootstrap.css)
